Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,,Sum 41 Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/6abb9df3-a10a-4b12-baf7-8d7e11f5a405-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,311 Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/9e53dec1-fe58-4855-83fe-ed03a4ee5416-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,"Selena – 11 Lareina T-Shirt, Sweatshirt, Hoodie",,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-46-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Backstreet Boys – Backstreets Back Alright Shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/redirect-48-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,Mercyful Fate T-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/redirect-36-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,King Diamond Abigail’87 Mercyful Fate,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/redirect-12-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,King Diamond Shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/redirect-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,Kiss 2 Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p012431-929c1ae8e3834400b3a18da5c2b4a579-primary-mockup-1-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
,,White PNG on 4 dark shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-106-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Selena – My heart goes bidi bidi bom bom white version,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-94-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Ween – I came to get brown tee,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-82-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Amor Prohibido Selena Slayer Tee,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-70-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,"Ween Logo T-Shirt, Sweatshirt, Hoodie",,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-58-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Ween – Bananas and Blow T-Shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-32-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,Ween logo custom t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-27-300x300.jpeg,,,,,,,,,,,,,,,,,,,,,
,,"Beyoncé 4 Cotton T-Shirt, Sweatshirt, Hoodie",,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-109-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,"Beyoncé 6 Cotton T-Shirt, Sweatshirt, Hoodie",,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/image-71-300x300.png,,,,,,,,,,,,,,,,,,,,,
,,Slayer Quilt Blanket,,,,,,,,,,,,,,,,,,,,,,,,,,https://pod-product.s3.amazonaws.com/p012430-6201e5bffdae42e29c50c5396aa2cbca-primary-mockup-1-300x300.jpg,,,,,,,,,,,,,,,,,,,,,
